Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
554,RATEGAIN,Rategain Travel Technologies Limited,372286
555,SCHNEIDER,Schneider Electric Infrastructure Limited,372285
556,RPOWER,Reliance Power Limited,371653
557,ARVINDFASN,Arvind Fashions Limited,371444
558,TATVA,Tatva Chintan Pharma Chem Limited,369946
559,POWERMECH,Power Mech Projects Limited,368172
560,HCG,Healthcare Global Enterprises Limited,365110
561,NESCO,Nesco Limited,364771
562,HEIDELBERG,HeidelbergCement India Limited,364734
563,TECHNOE,Techno Electric & Engineering Company Limited,363322
564,POLYPLEX,Polyplex Corporation Limited,358675
565,SURYAROSNI,Surya Roshni Limited,357957
566,AUTOAXLES,Automotive Axles Limited,357285
567,JWL,Jupiter Wagons Limited,357227
568,NFL,National Fertilizers Limited,355424
569,HEG,HEG Limited,355349
570,RAJRILTD,Raj Rayon Industries Limited,355337
571,CHENNPETRO,Chennai Petroleum Corporation Limited,353665
572,WSTCSTPAPR,West Coast Paper Mills Limited,350456
573,LUXIND,Lux Industries Limited,349177
574,HIKAL,Hikal Limited,347277
575,MIDHANI,Mishra Dhatu Nigam Limited,345923
576,HLEGLAS,HLE Glascoat Limited,344604
577,SHAREINDIA,Share India Securities Limited,344502
578,NOCIL,NOCIL Limited,344367
579,NAZARA,Nazara Technologies Limited,341756
580,BANARISUG,Bannari Amman Sugars Limited,339964
581,ANANDRATHI,Anand Rathi Wealth Limited,336716
582,PRUDENT,Prudent Corporate Advisory Services Limited,334814
583,GRAVITA,Gravita India Limited,334592
584,GREENPANEL,Greenpanel Industries Limited,333608
585,VESUVIUS,Vesuvius India Limited,332348
586,DCBBANK,DCB Bank Limited,331732
587,ROSSARI,Rossari Biotech Limited,328782
588,RESPONIND,Responsive Industries Limited,328703
589,TINPLATE,The Tinplate Company of India Limited,326301
590,KIRLOSBROS,Kirloskar Brothers Limited,325775
591,RAILTEL,Railtel Corporation Of India Limited,324469
592,AMIORG,Ami Organics Limited,324181
593,ISGEC,Isgec Heavy Engineering Limited,320809
594,NEOGEN,Neogen Chemicals Limited,320769
595,MARKSANS,Marksans Pharma Limited,319115
596,NAVA,NAVA LIMITED,316392
597,NEWGEN,Newgen Software Technologies Limited,315290
598,BECTORFOOD,Mrs. Bectors Food Specialities Limited,314056
599,TWL,Titagarh Wagons Limited,313755
600,AARTIDRUGS,Aarti Drugs Limited,312757
601,UJJIVAN,Ujjivan Financial Services Limited,311800
602,GATEWAY,Gateway Distriparks Limited,311778
603,SULA,Sula Vineyards Limited,308715
604,DAAWAT,LT Foods Limited,308650
605,SOUTHBANK,The South Indian Bank Limited,306587
606,GET&D,GE T&D India Limited,305335
607,HARSHA,Harsha Engineers International Limited,305043
608,PGEL,PG Electroplast Limited,303011
609,RSYSTEMS,R Systems International Limited,301201
610,INDOCO,Indoco Remedies Limited,299719
611,MOLDTKPAC,Mold-Tek Packaging Limited,299063
612,IFBIND,IFB Industries Limited,298826
613,SBCL,Shivalik Bimetal Controls Limited,295769
614,BCG,Brightcom Group Limited,294617
615,GREAVESCOT,Greaves Cotton Limited,291993
616,MOIL,MOIL Limited,289356
617,TATASTLLP,Tata Steel Long Products Limited,284243
618,TARSONS,Tarsons Products Limited,283137
619,SHANTIGEAR,Shanthi Gears Limited,281586
620,CHOICEIN,Choice International Limited,280922
621,TIIL,Technocraft Industries (India) Limited,278950
622,DHANUKA,Dhanuka Agritech Limited,278666
623,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,276409
624,DODLA,Dodla Dairy Limited,275898
625,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,273534
626,VOLTAMP,Voltamp Transformers Limited,272398
627,ASTEC,Astec LifeSciences Limited,271538
628,SUDARSCHEM,Sudarshan Chemical Industries Limited,270886
629,KSCL,Kaveri Seed Company Limited,267278
630,SUNFLAG,Sunflag Iron And Steel Company Limited,265734
631,IBREALEST,Indiabulls Real Estate Limited,264879
632,THOMASCOOK,Thomas Cook  (India)  Limited,264119
633,HBLPOWER,HBL Power Systems Limited,264028
634,INOXWIND,Inox Wind Limited,263971
635,NILKAMAL,Nilkamal Limited,262047
636,ZENTEC,Zen Technologies Limited,260912
637,TCNSBRANDS,TCNS Clothing Co. Limited,259795
638,ADVENZYMES,Advanced Enzyme Technologies Limited,259432
639,STAR,Strides Pharma Science Limited,258582
640,FCL,Fineotex Chemical Limited,258155
641,KKCL,Kewal Kiran Clothing Limited,257532
642,HINDWAREAP,Hindware Home Innovation Limited,256905
643,MAHLOG,Mahindra Logistics Limited,255015
644,EMIL,Electronics Mart India Limited,254896
645,JTEKTINDIA,Jtekt India Limited,253648
646,MANINFRA,Man Infraconstruction Limited,253193
647,ITDC,India Tourism Development Corporation Limited,253191
648,APCOTEXIND,Apcotex Industries Limited,252770
649,PRICOLLTD,Pricol Limited,252599
650,PTC,PTC India Limited,251755
651,AARTIPHARM,Aarti Pharmalabs Limited,249992
652,MBAPL,Madhya Bharat Agro Products Limited,249014
653,SAGCEM,Sagar Cements Limited,248018
654,TDPOWERSYS,TD Power Systems Limited,247796
655,JAICORPLTD,Jai Corp Limited,247242
656,DBL,Dilip Buildcon Limited,246957
657,BARBEQUE,Barbeque Nation Hospitality Limited,246792
658,UNIPARTS,Uniparts India Limited,243429
659,UFLEX,UFLEX Limited,242306
660,WONDERLA,Wonderla Holidays Limited,242215
661,PSPPROJECT,PSP Projects Limited,241524
662,KIRLOSIND,Kirloskar Industries Limited,240367
663,IPL,India Pesticides Limited,239367
664,DISHTV,Dish TV India Limited,239363
665,TATAMETALI,Tata Metaliks Limited,236800
666,PAISALO,Paisalo Digital Limited,236635
667,PFOCUS,Prime Focus Limited,236484
668,HEMIPROP,Hemisphere Properties India Limited,234698
669,LGBBROSLTD,LG Balakrishnan & Bros Limited,233026
670,MAITHANALL,Maithan Alloys Limited,232892
671,SSWL,Steel Strips Wheels Limited,231561
672,NEULANDLAB,Neuland Laboratories Limited,231458
673,HATHWAY,Hathway Cable & Datacom Limited,229229
674,THYROCARE,Thyrocare Technologies Limited,227520
675,ORIENTCEM,Orient Cement Limited,225253
676,DREAMFOLKS,Dreamfolks Services Limited,224910
677,ETHOSLTD,Ethos Limited,224129
678,GLOBUSSPR,Globus Spirits Limited,223682
679,GANESHHOUC,Ganesh Housing Corporation Limited,223602
680,ARVIND,Arvind Limited,222273
681,ICIL,Indo Count Industries Limited,221920
682,SHRIPISTON,Shriram Pistons & Rings Limited,221802
683,WOCKPHARMA,Wockhardt Limited,221752
684,DBREALTY,D B Realty Limited,221464
685,ISMTLTD,ISMT Limited,220718
686,JINDALPOLY,Jindal Poly Films Limited,219304
687,WABAG,VA Tech Wabag Limited,218848
688,BAJAJCON,Bajaj Consumer Care Limited,218593
689,GENUSPOWER,Genus Power Infrastructures Limited,218183
690,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,216584
691,NAVNETEDUL,Navneet Education Limited,215694
692,GOKEX,Gokaldas Exports Limited,215658
693,APOLLOPIPE,Apollo Pipes Limited,215479
694,LANDMARK,Landmark Cars Limited,215360
695,IFCI,IFCI Limited,215201
696,ATFL,Agro Tech Foods Limited,213633
697,EVEREADY,Eveready Industries India Limited,212356
698,AGI,AGI Greenpac Limited,209490
699,TI,Tilaknagar Industries Limited,208878
700,ASHOKA,Ashoka Buildcon Limited,207735
701,SOMANYCERA,Somany Ceramics Limited,207635
702,HCC,Hindustan Construction Company Limited,207285
703,JISLJALEQS,Jain Irrigation Systems Limited,207091
704,VINDHYATEL,Vindhya Telelinks Limited,206958
705,FIEMIND,Fiem Industries Limited,206057
706,TASTYBITE,Tasty Bite Eatables Limited,205854
707,JAYNECOIND,Jayaswal Neco Industries Limited,205366
708,HONDAPOWER,Honda India Power Products Limited,204302
709,UNICHEMLAB,Unichem Laboratories Limited,203965
710,MUKANDLTD,Mukand Limited,203811
711,CIGNITITEC,Cigniti Technologies Limited,203337
712,MMFL,MM Forgings Limited,202578
713,VENKEYS,Venky's (India) Limited,202548
714,RAMKY,Ramky Infrastructure Limited,201815
715,DIVGIITTS,Divgi Torqtransfer Systems Limited,201373
716,CAMLINFINE,Camlin Fine Sciences Limited,200216
717,SHILPAMED,Shilpa Medicare Limited,198646
718,GULFOILLUB,Gulf Oil Lubricants India Limited,198250
719,MOL,Meghmani Organics Limited,197602
720,DOLLAR,Dollar Industries Limited,197259
721,VSTTILLERS,V.S.T Tillers Tractors Limited,196493
722,SUBROS,Subros Limited,195740
723,DCAL,Dishman Carbogen Amcis Limited,195587
724,GABRIEL,Gabriel India Limited,195428
725,MAXVIL,Max Ventures and Industries Limited,195207
726,SIYSIL,Siyaram Silk Mills Limited,195073
727,TVSSRICHAK,TVS Srichakra Limited,194876
728,ASTRAMICRO,Astra Microwave Products Limited,194616
729,JKIL,J.Kumar Infraprojects Limited,192493
730,JAGRAN,Jagran Prakashan Limited,191281
731,ELECTCAST,Electrosteel Castings Limited,190868
732,CARERATING,CARE Ratings Limited,190787
733,INDIAGLYCO,India Glycols Limited,190289
734,BALMLAWRIE,Balmer Lawrie & Company Limited,189643
735,KOLTEPATIL,Kolte - Patil Developers Limited,189441
736,IMAGICAA,Imagicaaworld Entertainment Limited,188483
737,WELENT,Welspun Enterprises Limited,188304
738,TIPSINDLTD,TIPS Industries Limited,187548
739,SWARAJENG,Swaraj Engines Limited,186980
740,MAYURUNIQ,Mayur Uniquoters Ltd,184623
741,GANECOS,Ganesha Ecosphere Limited,184317
742,PARAS,Paras Defence and Space Technologies Limited,183437
743,LUMAXTECH,Lumax Auto Technologies Limited,183276
744,ACCELYA,Accelya Solutions India Limited,182056
745,KESORAMIND,Kesoram Industries Limited,182023
746,CARTRADE,Cartrade Tech Limited,181964
747,MPSLTD,MPS Limited,181647
748,SEQUENT,Sequent Scientific Limited,181089
749,HIL,HIL Limited,180965
750,GUFICBIO,Gufic Biosciences Limited,180705
751,ITDCEM,ITD Cementation India Limited,179260
752,PILANIINVS,Pilani Investment and Industries Corporation Limited,179227
753,MSTCLTD,Mstc Limited,178042
754,LSIL,Lloyds Steels Industries Limited,177404
755,PANAMAPET,Panama Petrochem Limited,176762
756,OPTIEMUS,Optiemus Infracom Limited,176694
757,SIRCA,Sirca Paints India Limited,176635
758,TIRUMALCHM,Thirumalai Chemicals Limited,175903
759,DYNAMATECH,Dynamatic Technologies Limited,175176
760,SUNDARMHLD,Sundaram Finance Holdings Limited,175129
761,TIMETECHNO,Time Technoplast Limited,174133
762,DBCORP,D.B.Corp Limited,173579
763,ASHIANA,Ashiana Housing Limited,173077
764,CONFIPET,Confidence Petroleum India Limited,172963
765,DIAMONDYD,Prataap Snacks Limited,172743
766,NUCLEUS,Nucleus Software Exports Limited,171162
767,GREENPLY,Greenply Industries Limited,170737
768,JPASSOCIAT,Jaiprakash Associates Limited,170594
769,WENDT,Wendt (India) Limited,170174
770,FINOPB,Fino Payments Bank Limited,169965
771,FMGOETZE,Federal-Mogul Goetze (India) Limited.,169956
772,SANGHIIND,Sanghi Industries Limited,169849
773,VAKRANGEE,Vakrangee Limited,169520
774,GNA,GNA Axles Limited,169094
775,AMRUTANJAN,Amrutanjan Health Care Limited,168368
776,EMUDHRA,eMudhra Limited,167738
777,DATAMATICS,Datamatics Global Services Limited,167534
778,SHARDAMOTR,Sharda Motor Industries Limited,166854
779,IOLCP,IOL Chemicals and Pharmaceuticals Limited,166049
780,LUMAXIND,Lumax Industries Limited,165385
781,BAJAJHIND,Bajaj Hindusthan Sugar Limited,164779
782,STYLAMIND,Stylam Industries Limited,164608
783,ANDHRAPAP,ANDHRA PAPER LIMITED,164588
784,SOTL,Savita Oil Technologies Limited,163803
785,ADFFOODS,ADF Foods Limited,163433
786,VIDHIING,Vidhi Specialty Food Ingredients Limited,162821
787,KABRAEXTRU,Kabra Extrusion Technik Limited,162665
788,BEPL,Bhansali Engineering Polymers Limited,162588
789,RUPA,Rupa & Company Limited,162429
790,NACLIND,NACL Industries Limited,162117
791,VSSL,Vardhman Special Steels Limited,161372
792,VISHNU,Vishnu Chemicals Limited,161331
793,DWARKESH,Dwarikesh Sugar Industries Limited,160715
794,DHANI,Dhani Services Limited,160158
795,BANCOINDIA,Banco Products (I) Limited,160094
796,KINGFA,Kingfa Science & Technology (India) Limited,159622
797,SUBEXLTD,Subex Limited,159609
798,HINDOILEXP,Hindustan Oil Exploration Company Limited,159018
799,RTNPOWER,RattanIndia Power Limited,158418
800,VADILALIND,Vadilal Industries Limited,157856
801,BBOX,Black Box Limited,156739
802,ORCHPHARMA,Orchid Pharma Limited,156429
803,PURVA,Puravankara Limited,154977
804,COSMOFIRST,COSMO FIRST LIMITED,154165
805,IMFA,Indian Metals & Ferro Alloys Limited,153742
806,SUPRIYA,Supriya Lifescience Limited,153521
807,SAKSOFT,Saksoft Limited,152986
808,IIFLSEC,IIFL Securities Limited,152843
809,SANGHVIMOV,Sanghvi Movers Limited,152439
810,GOKULAGRO,Gokul Agro Resources Limited,151675
811,ALEMBICLTD,Alembic Limited,151630
812,VENUSPIPES,Venus Pipes & Tubes Limited,151409
813,SEAMECLTD,Seamec Limited,151291
814,TNPL,Tamil Nadu Newsprint & Papers Limited,151087
815,KPIGREEN,KPI Green Energy Limited,150896
816,BFINVEST,BF Investment Limited,150237
817,SESHAPAPER,Seshasayee Paper and Boards Limited,148652
818,DHAMPURSUG,Dhampur Sugar Mills Limited,148409
819,ANDHRSUGAR,The Andhra Sugars Limited,147056
820,KIRIINDUS,Kiri Industries Limited,146717
821,TTKHLTCARE,TTK Healthcare Limited,146673
822,CARYSIL,CARYSIL LIMITED,146041
823,GOCLCORP,GOCL Corporation Limited,146041
824,JSWISPL,JSW Ispat Special Products Limited,146029
825,STERTOOLS,Sterling Tools Limited,145015
826,SHALBY,Shalby Limited,144949
827,TIDEWATER,Tide Water Oil Company (India) Limited,144602
828,KRSNAA,Krsnaa Diagnostics Limited,144492
829,KRISHANA,Krishana Phoschem Limited,144119
830,HUHTAMAKI,Huhtamaki India Limited,143114
831,BBL,Bharat Bijlee Limited,143106
832,SEPC,SEPC Limited,142625
833,ORISSAMINE,The Orissa Minerals Development Company Limited,142155
834,FILATEX,Filatex India Limited,141985
835,THEJO,Thejo Engineering Limited,141954
836,APTECHT,Aptech Limited,141273
837,ORIENTHOT,Oriental Hotels Limited,140736
838,DCXINDIA,DCX Systems Limited,140685
839,FOSECOIND,Foseco India Limited,140445
840,GOLDIAM,Goldiam International Limited,140032
841,SHANKARA,Shankara Building Products Limited,139975
842,INSECTICID,Insecticides (India) Limited,138207
843,THANGAMAYL,Thangamayil Jewellery Limited,137896
844,SHK,S H Kelkar and Company Limited,137729
845,TEXRAIL,Texmaco Rail & Engineering Limited,136634
846,CANTABIL,Cantabil Retail India Limited,135674
847,GALLANTT,Gallantt Ispat Limited,134273
848,HERITGFOOD,Heritage Foods Limited,133765
849,KCP,KCP Limited,133433
850,MOREPENLAB,Morepen Laboratories Limited,131882
851,GATI,GATI Limited,130781
852,RAMASTEEL,Rama Steel Tubes Limited,129732
853,HESTERBIO,Hester Biosciences Limited,129543
854,NRBBEARING,NRB Bearing Limited,129489
855,INDOSTAR,IndoStar Capital Finance Limited,129033
856,MONTECARLO,Monte Carlo Fashions Limited,128902
857,KSL,Kalyani Steels Limited,128689
858,KDDL,KDDL Limited,128568
859,TCPLPACK,TCPL Packaging Limited,128201
860,MARATHON,Marathon Nextgen Realty Limited,128017
861,ARVSMART,Arvind SmartSpaces Limited,128006
862,DCW,DCW Limited,127950
863,DEN,Den Networks Limited,127896
864,STEELXIND,STEEL EXCHANGE INDIA LIMITED,127415
865,EIHAHOTELS,EIH Associated Hotels Limited,127144
866,IGPL,IG Petrochemicals Limited,127075
867,NITINSPIN,Nitin Spinners Limited,126636
868,EXPLEOSOL,Expleo Solutions Limited,125988
869,VERANDA,Veranda Learning Solutions Limited,125853
870,SALASAR,Salasar Techno Engineering Limited,125809
871,STYRENIX,Styrenix Performance Materials Limited,125790
872,ADORWELD,Ador Welding Limited,125187
873,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,124658
874,PCJEWELLER,PC Jeweller Limited,124496
875,GENESYS,Genesys International Corporation Limited,124046
876,STOVEKRAFT,Stove Kraft Limited,123844
877,RANEHOLDIN,Rane Holdings Limited,123639
878,NDTV,New Delhi Television Limited,123591
879,XPROINDIA,Xpro India Limited,122624
880,MANORAMA,Manorama Industries Limited,122440
881,GRWRHITECH,Garware Hi-Tech Films Limited,122260
882,HARIOMPIPE,Hariom Pipe Industries Limited,121942
883,SANDHAR,Sandhar Technologies Limited,121495
884,AVTNPL,AVT Natural Products Limited,120913
885,IWEL,Inox Wind Energy Limited,120742
886,SJS,S.J.S. Enterprises Limited,120549
887,EVERESTIND,Everest Industries Limited,118938
888,FAIRCHEMOR,Fairchem Organics Limited,118900
889,SASKEN,Sasken Technologies Limited,118390
890,OAL,Oriental Aromatics Limited,118242
891,NELCO,NELCO Limited,118074
892,RIIL,Reliance Industrial Infrastructure Limited,118059
893,SOLARA,Solara Active Pharma Sciences Limited,117870
894,TAJGVK,Taj GVK Hotels & Resorts Limited,117722
895,BOMDYEING,Bombay Dyeing & Mfg Company Limited,117209
896,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026
897,GOODLUCK,Goodluck India Limited,115907
898,RPGLIFE,RPG Life Sciences Limited,115848
899,PATELENG,Patel Engineering Limited,115656
900,SPIC,Southern Petrochemicals Industries Corporation  Limited,114955
901,INOXGREEN,Inox Green Energy Services Limited,114878
902,GIPCL,Gujarat Industries Power Company Limited,114800
903,UNIVCABLES,Universal Cables Limited,114716
904,NSIL,Nalwa Sons Investments Limited,114506
905,HMT,HMT Limited,113765
906,MATRIMONY,Matrimony.Com Limited,113725
907,MTNL,Mahanagar Telephone Nigam Limited,113715
908,SDBL,Som Distilleries & Breweries Limited,113524
909,VALIANTORG,Valiant Organics Limited,113189
910,ARMANFIN,Arman Financial Services Limited,112901
911,REPCOHOME,Repco Home Finance Limited,112454
912,HERANBA,Heranba Industries Limited,111998
913,BFUTILITIE,BF Utilities Limited,111929
914,PRECWIRE,Precision Wires India Limited,111098
915,AXITA,Axita Cotton Limited,110958
916,GRMOVER,GRM Overseas Limited,110070
917,GTPL,GTPL Hathway Limited,109820
918,IGARASHI,Igarashi Motors India Limited,109565
919,INFOBEAN,InfoBeans Technologies Limited,109116
920,ALICON,Alicon Castalloy Limited,109045
921,THEMISMED,Themis Medicare Limited,108579
922,TVTODAY,TV Today Network Limited,108000
923,WHEELS,Wheels India Limited,107966
924,RPSGVENT,RPSG VENTURES LIMITED,107687
925,RAMCOIND,Ramco Industries Limited,107687
926,SMLISUZU,SML Isuzu Limited,107452
927,AHL,Abans Holdings Limited,107037
928,UNIENTER,Uniphos Enterprises Limited,106197
929,SATIN,Satin Creditcare Network Limited,105986
930,KUANTUM,Kuantum Papers Limited,105894
931,GANESHBE,Ganesh Benzoplast Limited,105859
932,SUVEN,Suven Life Sciences Limited,105766
933,SATIA,Satia Industries Limited,105500
934,GULPOLY,Gulshan Polyols Limited,105146
935,UGARSUGAR,The Ugar Sugar Works Limited,104288
936,MANALIPETC,Manali Petrochemicals Limited,103716
937,PIXTRANS,Pix Transmissions Limited,103626
938,SHRIRAMPPS,Shriram Properties Limited,103423
939,RADIANTCMS,Radiant Cash Management Services Limited,103080
940,PNBGILTS,PNB Gilts Limited,102966
941,INDORAMA,Indo Rama Synthetics (India) Limited,102617
942,ASHAPURMIN,Ashapura Minechem Limited,102556
943,UGROCAP,Ugro Capital Limited,102346
944,AXISCADES,AXISCADES Technologies Limited,102183
945,HITECH,Hi-Tech Pipes Limited,102057
946,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,101506
947,SURYODAY,Suryoday Small Finance Bank Limited,101116
948,EKC,Everest Kanto Cylinder Limited,101099
949,JASH,Jash Engineering Limited,100998
950,DPSCLTD,DPSC Limited,100787
951,TARC,TARC Limited,100628
952,BHARATWIRE,Bharat Wire Ropes Limited,99994
953,EXCELINDUS,Excel Industries Limited,99943
954,SPECIALITY,Speciality Restaurants Limited,99762
955,ANUP,The Anup Engineering Limited,99130
956,SKIPPER,Skipper Limited,98769
957,AJMERA,Ajmera Realty & Infra India Limited,98258
958,SHALPAINTS,Shalimar Paints Limited,98251
959,GMBREW,GM Breweries Limited,97703
960,SANGAMIND,Sangam (India) Limited,96873
961,SHIVALIK,Shivalik Rasayan Limited,96795
962,GMRP&UI,GMR Power and Urban Infra Limited,96273
963,PENIND,Pennar Industries Limited,95474
964,GEOJITFSL,Geojit Financial Services Limited,95398
965,BCLIND,Bcl Industries Limited,95079
966,DBOL,Dhampur Bio Organics Limited,95034
967,SHAILY,Shaily Engineering Plastics Limited,94340
968,LIKHITHA,Likhitha Infrastructure Limited,92905
969,MADRASFERT,Madras Fertilizers Limited,92553
970,STEELCAS,Steelcast Limited,92375
971,MKPL,M K Proteins Limited,91341
972,ROSSELLIND,Rossell India Limited,91320
973,KITEX,Kitex Garments Limited,91205
974,PRAKASH,Prakash Industries Limited,91153
975,ARTEMISMED,Artemis Medicare Services Limited,91067
976,RICOAUTO,Rico Auto Industries Limited,90979
977,OMAXE,Omaxe Limited,90902
978,CENTUM,Centum Electronics Limited,90870
979,ROTO,Roto Pumps Limited,90799
980,PRECAM,Precision Camshafts Limited,90427
981,BIGBLOC,Bigbloc Construction Limited,90396
982,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,89445
983,CLSEL,Chaman Lal Setia Exports Limited,88827
984,GTLINFRA,GTL Infrastructure Limited,88698
985,PGIL,Pearl Global Industries Limited,88649
986,UTTAMSUGAR,Uttam Sugar Mills Limited,88213
987,AVADHSUGAR,Avadh Sugar & Energy Limited,87310
988,PITTIENG,Pitti Engineering Limited,86840
989,5PAISA,5Paisa Capital Limited,86699
990,NAHARSPING,Nahar Spinning Mills Limited,86665
991,SPCENET,Spacenet Enterprises India Limited,86188
992,SPORTKING,Sportking India Limited,85928
993,DEEPINDS,Deep Industries Limited,85920
994,PARAGMILK,Parag Milk Foods Limited,85391
995,AGARIND,Agarwal Industrial Corporation Limited,85192
996,CONTROLPR,Control Print Limited,85072
997,BAJAJHCARE,Bajaj Healthcare Limited,84686
998,KAMDHENU,Kamdhenu Limited,84349
999,CHEMCON,Chemcon Speciality Chemicals Limited,83811
1000,GICHSGFIN,GIC Housing Finance Limited,83388
1001,MEDICAMEQ,Medicamen Biotech Limited,83358
1002,DLINKINDIA,D-Link (India) Limited,82815
1003,ARIHANTSUP,Arihant Superstructures Limited,81538
1004,VHL,Vardhman Holdings Limited,81521
1005,PFS,PTC India Financial Services Limited,81249
1006,HEXATRADEX,Hexa Tradex Limited,81127
1007,RILINFRA,Rachana Infrastructure Limited,80820
1008,CAPACITE,Capacit'e Infraprojects Limited,80757
1009,SPAL,S. P. Apparels Limited,80748
1010,NCLIND,NCL Industries Limited,80673
1011,63MOONS,63 moons technologies limited,80522
1012,NAVKARCORP,Navkar Corporation Limited,79625
1013,ORIENTPPR,Orient Paper & Industries Limited,79357
1014,DREDGECORP,Dredging Corporation of India Limited,79240
1015,AMBIKCO,Ambika Cotton Mills Limited,78965
1016,CENTRUM,Centrum Capital Limited,78630
1017,LINC,Linc Limited,78593
1018,RGL,Renaissance Global Limited,78255
1019,SCHAND,S Chand And Company Limited,78188
1020,NELCAST,Nelcast Limited,77257
1021,FAZE3Q,Faze Three Limited,76933
1022,KICL,Kalyani Investment Company Limited,76471
1023,DVL,Dhunseri Ventures Limited,76371
1024,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,75922
1025,POKARNA,Pokarna Limited,75820
1026,IFGLEXPOR,IFGL Refractories Limited,75484
1027,TRIL,Transformers And Rectifiers (India) Limited,75429
1028,CENTENKA,Century Enka Limited,75210
1029,SMCGLOBAL,SMC Global Securities Limited,74913
1030,ROHLTD,Royal Orchid Hotels Limited,74761
1031,INDNIPPON,India Nippon Electricals Limited,74741
1032,SHAKTIPUMP,Shakti Pumps (India) Limited,74329
1033,NGLFINE,NGL Fine-Chem Limited,74241
1034,IMPAL,India Motor Parts and Accessories Limited,74156
1035,BLISSGVS,Bliss GVS Pharma Limited,74105
1036,ALLSEC,Allsec Technologies Limited,74066
1037,ORIENTBELL,Orient Bell Limited,73160
1038,MANGLMCEM,Mangalam Cement Limited,72978
1039,SANDESH,The Sandesh Limited,72765
1040,BODALCHEM,Bodal Chemicals Limited,72485
1041,ESTER,Ester Industries Limited,72469
1042,ZOTA,Zota Health Care LImited,70889
1043,RSWM,RSWM Limited,70794
1044,INDRAMEDCO,Indraprastha Medical Corporation Limited,70634
1045,QUICKHEAL,Quick Heal Technologies Limited,70562
1046,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,70376
1047,AURIONPRO,Aurionpro Solutions Limited,70236
1048,GSLSU,Global Surfaces Limited,70205
1049,SASTASUNDR,Sastasundar Ventures Limited,70158
1050,MANAKSIA,Manaksia Limited,70056
1051,AWHCL,Antony Waste Handling Cell Limited,70053
1052,BLKASHYAP,B. L. Kashyap and Sons Limited,69886
1053,RAMRAT,Ram Ratna Wires Limited,69564
1054,JINDRILL,Jindal Drilling And Industries Limited,69526
1055,VIMTALABS,Vimta Labs Limited,69452
1056,CLOUD,Varanium Cloud Limited,69053
1057,DPABHUSHAN,D. P. Abhushan Limited,68957
1058,MOLDTECH,Mold-Tek Technologies Limited,68940
1059,ATULAUTO,Atul Auto Limited,68770
1060,KOKUYOCMLN,Kokuyo Camlin Limited,68658
1061,SIGACHI,Sigachi Industries Limited,68633
1062,HIMATSEIDE,Himatsingka Seide Limited,68034
1063,LINCOLN,Lincoln Pharmaceuticals Limited,67951
1064,GREENPOWER,Orient Green Power Company Limited,67941
1065,EMAMIPAP,Emami Paper Mills Limited,67759
1066,SATINDLTD,Sat Industries Limited,67455
1067,RAMCOSYS,Ramco Systems Limited,67303
1068,HPAL,HP Adhesives Limited,67013
1069,OCCL,Oriental Carbon & Chemicals Limited,66954
1070,FOCUS,Focus Lighting and Fixtures Limited,66947
1071,GEPIL,GE Power India Limited,66690
1072,SUTLEJTEX,Sutlej Textiles and Industries Limited,66433
1073,PANACEABIO,Panacea Biotec Limited,66426
1074,JAIBALAJI,Jai Balaji Industries Limited,66253
1075,RML,Rane (Madras) Limited,66118
1076,JETAIRWAYS,Jet Airways (India) Limited,65432
1077,TRACXN,Tracxn Technologies Limited,65302
1078,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,65031
1079,TNPETRO,Tamilnadu PetroProducts Limited,64330
1080,ONWARDTEC,Onward Technologies Limited,64317
1081,TFCILTD,Tourism Finance Corporation of India Limited,64119
1082,ONMOBILE,OnMobile Global Limited,63973
1083,INNOVANA,Innovana Thinklabs Limited,63755
1084,GANDHITUBE,Gandhi Special Tubes Limited,63217
1085,TEXINFRA,Texmaco Infrastructure & Holdings Limited,62821
1086,MEDICO,Medico Remedies Limited,62279
1087,TVSELECT,TVS Electronics Limited,61900
1088,HEUBACHIND,Heubach Colorants India Limited,61398
1089,VINYLINDIA,Vinyl Chemicals (India) Limited,61145
1090,PARACABLES,Paramount Communications Limited,60391
1091,FOODSIN,Foods & Inns Limited,60362
1092,HLVLTD,HLV LIMITED,60322
1093,COFFEEDAY,Coffee Day Enterprises Limited,60312
1094,BETA,Beta Drugs Limited,60274
1095,APEX,Apex Frozen Foods Limited,60219
1096,YUKEN,Yuken India Limited,60210
1097,ELIN,Elin Electronics Limited,59864
1098,MONARCH,Monarch Networth Capital Limited,59786
1099,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,59581
1100,CHEVIOT,Cheviot Company Limited,59375
1101,XCHANGING,Xchanging Solutions Limited,59267
1102,VISAKAIND,Visaka Industries Limited,59084
